Source,Licence ouverte?,Les données sont-elles disponibles gratuitement?,Les données sont-elles lisible par machine XLS CSV JSON XML ?,Disponible dans leur totalité ou en masse?,Les données sont-elles fournies en temps opportun et à jour?,Disponible publiquement?,Les données sont-elles sous forme numérique?,Lien,Lien long,Format,Type
Agence Nationale de Statistique et de la Démographie,1,1,0,1,1,1,1,http://www.ansd.sn,http://www.ansd.sn,,gouvernementales
Annuaire Statistique du Sénégal,0,1,0,1,1,1,1,http://senegal.opendataforafrica.org,http://senegal.opendataforafrica.org/zegyzld,,gouvernementales
Journal Officiel de la République du Sénégal,0,1,0,1,1,1,1,http://www.jo.gouv.sn,http://www.jo.gouv.sn,,gouvernementales
Portail des marchés publics du Sénégal,0,1,0,1,1,1,1,http://www.marchespublics.sn,http://www.marchespublics.sn,,gouvernementales
Direction de la Prévision et des Etudes Economiques,0,1,0,0,1,1,1,http://www.dpee.sn,http://www.dpee.sn,,gouvernementales
Site de l'Asemblée Nnationale,0,1,0,0,1,1,1,http://www.assemblee-nationale.sn/,http://www.assemblee-nationale.sn/,,gouvernementales
Visualiseur Sénégal,0,1,0,0,1,1,1,http://www.vigeosn.gouv.sn,http://www.vigeosn.gouv.sn,,gouvernementales
Centre de gestion de la qualité de l'air,0,1,0,0,1,1,1,http://www.air-dakar.org,http://www.air-dakar.org,,gouvernementales
Liste des Lignes du réseau de Dakar Dem Dikk,0,1,0,0,1,1,1,http://demdikk.com,http://demdikk.com/?page_id=1207,,gouvernementales
Bureau d'appui à la Création d'Entreprise,0,1,0,0,0,1,1,http://creationdentreprise.sn,http://creationdentreprise.sn/rechercher-une-societe,,gouvernementales
Observatoire cartographique numérique des inondations,0,1,0,0,0,1,1,http://www.anat.sn/OCNI,http://www.anat.sn/OCNI,,gouvernementales
Portail des Services Sociaux de Base,0,1,0,0,0,1,1,http://geossb.gouv.sn,http://geossb.gouv.sn,,gouvernementales
Office du baccalauréat Sénégal,0,1,0,0,0,1,1,http://www.officedubac.sn,http://www.officedubac.sn,,gouvernementales
Base de Donnée Géographiques,0,1,0,1,0,0,1,http://www.basegeo.gouv.sn,http://www.basegeo.gouv.sn,,gouvernementales
OpenStreetMap - Sénégal,1,1,1,1,1,1,1,https://www.openstreetmap.org,https://www.openstreetmap.org/search?query=senegal#map=7/14.476/-14.566,,internationale
ReSAKSS (Regional Strategic Analysts and Knowledge Support System),0,1,1,1,1,1,1,http://www.resakss.org,http://www.resakss.org,,internationale
Open Data Plateform (ODP),0,1,0,1,1,1,1,http://senegal.opendataforafrica.org,http://senegal.opendataforafrica.org,,internationale
Page Nationale Récapitulative des Données,0,1,0,1,1,1,1,http://senegal.opendataforafrica.org,http://nso.senegal.opendataforafrica.org/rarkwmf/national-summary-data-page-nsdp,,internationale
HUMANITARIAN DATA EXCHANGE,0,1,0,0,1,1,1,https://data.humdata.org,https://data.humdata.org/group/sen,,internationale
Sénégal Ouvert - Open Knowledge Sénégal,1,1,1,0,0,1,1,http://senegalouvert.org,http://senegalouvert.org/data,,autre
l’Observatoire sur les Systèmes d’Information les Réseaux et les Inforoutes au Sénégal,0,1,0,0,1,1,1,http://www.osiris.sn,http://www.osiris.sn,,autre
Election législatives 2017 - Dakaractu,0,1,0,0,1,1,1,http://legislatives.dakaractu.com,http://legislatives.dakaractu.com,,autre
Observatoire citoyen de l'Assemblée nationale,0,1,0,0,1,1,1,http://www.pencumrewmi.sn,http://www.pencumrewmi.sn,,autre
